Tipo,Codi,Nombre,Codigo Barras,Codigo Oem,Descripcion,Estado,Moneda,Costo Interno,Precio,Iva,Precio Final,Rentabilidad,Stock,Stock Reservado,Stock Disponible,Stock Minimo,Visible En Ventas,Rubro,Sub Rubro,Proveedor,Observaciones,CC Compras,CC Ventas,CC Mercaderia
Producto,G7S21K480WAM,FREEDOM MICRO PIQUE POLO WATERMINT SMALL,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"10,00","0,00","10,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WAMT,FREEDOM MICRO PIQUE POLO WATERMINT XLARGE,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"10,00","0,00","10,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WAMT2,FREEDOM MICRO PIQUE POLO WATERMINT XXLARGE,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"2,00","0,00","2,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WH,FREEDOM MICRO PIQUE POLO WHITE LARGE,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"91,00","0,00","91,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WH,FREEDOM MICRO PIQUE POLO WHITE MEDIUM,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"64,00","0,00","64,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WH,FREEDOM MICRO PIQUE POLO WHITE SMALL,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"33,00","0,00","33,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WHT,FREEDOM MICRO PIQUE POLO WHITE XLARGE,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"29,00","0,00","29,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G7S21K480WHT2,FREEDOM MICRO PIQUE POLO WHITE XXLARGE,,,,Activo,$,18707.2,15945.95,21,19294.6,0,"8,00","0,00","8,00",0,SI,NORMAN,MEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451,FREEDOM MICRO PIQUE POLO WHT L,,,,Activo,$,0.0,9765.78,0,9765.78,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K451,FREEDOM MICRO PIQUE POLO WHT M,,,,Activo,$,0.0,9765.78,0,9765.78,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K451W,FREEDOM MICRO PIQUE POLO WHT S,,,,Activo,$,0.0,9765.78,0,9765.78,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K451W,FREEDOM MICRO PIQUE POLO WHT XL,,,,Activo,$,0.0,9765.78,0,9765.78,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K451WHT,FREEDOM MICRO PIQUE S/L POLO  WHITE XSMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451FRB,FREEDOM MICRO PIQUE S/L POLO FRENCH BLUE LARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451FRB,FREEDOM MICRO PIQUE S/L POLO FRENCH BLUE MEDIUM,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451FRB,FREEDOM MICRO PIQUE S/L POLO FRENCH BLUE SMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451FRBL,FREEDOM MICRO PIQUE S/L POLO FRENCH BLUE XLARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451FRBL,FREEDOM MICRO PIQUE S/L POLO FRENCH BLUE XSMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451LAV,FREEDOM MICRO PIQUE S/L POLO LAVENDER LARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451LAV,FREEDOM MICRO PIQUE S/L POLO LAVENDER MEDIUM,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451LAV,FREEDOM MICRO PIQUE S/L POLO LAVENDER SMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451LAVD,FREEDOM MICRO PIQUE S/L POLO LAVENDER XLARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451LAVD,FREEDOM MICRO PIQUE S/L POLO LAVENDER XSMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451WH,FREEDOM MICRO PIQUE S/L POLO WHITE LARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451WH,FREEDOM MICRO PIQUE S/L POLO WHITE MEDIUM,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451WH,FREEDOM MICRO PIQUE S/L POLO WHITE SMALL,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K451WHT,FREEDOM MICRO PIQUE S/L POLO WHITE XLARGE,,,,Activo,$,14652.0,11837.84,21,14323.79,0,"0,00","0,00","0,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450BL,FREEDOM MICRO PIQUE S/S POLO BLACK LARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"12,00","0,00","12,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450BL,FREEDOM MICRO PIQUE S/S POLO BLACK MEDIUM,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"15,00","0,00","15,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450BL,FREEDOM MICRO PIQUE S/S POLO BLACK SMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"12,00","0,00","12,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450BLK,FREEDOM MICRO PIQUE S/S POLO BLACK XLARGE,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"6,00","0,00","6,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K450BLK,FREEDOM MICRO PIQUE S/S POLO BLACK XSMALL,,,,Activo,$,15836.0,12702.7,21,15370.27,0,"3,00","0,00","3,00",0,SI,NORMAN,WOMEN S TOPS,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,G2S21K45,FREEDOM MICRO PIQUE S/S POLO BLK L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K45,FREEDOM MICRO PIQUE S/S POLO BLK M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K45,FREEDOM MICRO PIQUE S/S POLO BLK S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450,FREEDOM MICRO PIQUE S/S POLO BLK XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450,FREEDOM MICRO PIQUE S/S POLO BLK XS,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450C,FREEDOM MICRO PIQUE S/S POLO CLGA L,,,,Activo,$,0.0,10778.1,0,10778.1,0,"1,00","0,00","1,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450C,FREEDOM MICRO PIQUE S/S POLO CLGA M,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450C,FREEDOM MICRO PIQUE S/S POLO CLGA S,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
Producto,G2S21K450CL,FREEDOM MICRO PIQUE S/S POLO CLGA XL,,,,Activo,$,0.0,10778.1,0,10778.1,0,"0,00","0,00","0,00",0,SI,NORMAN,,,,,,
